CODIGO;DESCRICAO;
0410303;Araripina;
0417600;PORTO DO RECIFE (CODIGO ANTIGO - USE O NOVO CODIGO 0415100);
0417900;ALF - RECIFE;
0417901;IRF - AEROPORTO INTERNACIONAL DOS GUARARAPES;
0417902;IRF - PORTO DE SUAPE;
0420100;NATAL;
0420101;CAICO;
0420102;CURRAIS NOVOS;
0420105;ASSU;
0420106;NOVA CRUZ;
0420108;Parnamirim;
0420152;PARNAMIRIM;
0420154;IRF NATAL;
0420200;MOSSORO;
0420201;PAU DOS FERROS;
0420252;AREIA BRANCA;
0430100;JOAO PESSOA;
0430102;GUARABIRA;
0430103;ITABAIANA;
0430105;SANTA RITA;
0430151;CABEDELO;
0430200;CAMPINA GRANDE;
0430201;PATOS;
0430202;SOUSA;
0430203;CAJAZEIRAS;
0440100;MACEIO;
0440101;ARAPIRACA;
0440102;PALMEIRA DOS INDIOS;
0440103;PENEDO;
0440104;SANTANA DO IPANEMA;
0440106;UNIAO DOS PALMARES;
0440107;Delmiro Gouveia;
0440151;MACEIO;
0500100;GABINETE DO SRRF/5A RF/ASSESSORIA;
0500107;DIREP/SRRF/5A RF;
0500300;DISIT/SRRF/5A RF;
0500500;DISAR/SRRF/5A RF;
0500700;DIFIS/SRRF/5A RF;
0500900;DIANA/SRRF/5A RF;
0501100;DITEC/SRRF/5A RF;
0501300;DIPOL/SRRF/5A RF;
0510100;SALVADOR;
0510200;FEIRA DE SANTANA;
0510201;BARREIRAS;
0510203;EUCLIDES DA CUNHA;
0510204;IBOTIRAMA;
0510205;IRECE;
0510206;ITABERABA;
0510207;JACOBINA;
0510209;JUAZEIRO;
0510210;MACAUBAS;
0510211;SEABRA;
0510212;SENHOR DO BONFIM;
0510213;SERRINHA;
0510214;PAULO AFONSO;
0510215;RIBEIRA DO POMBAL;
0510216;CRUZ DAS ALMAS;
0510218;SANTO ANTONIO DE JESUS;
0510300;VITORIA DA CONQUISTA;
0510302;BOM JESUS DA LAPA;
0510303;BRUMADO;
0510306;GUANAMBI;
0510309;ITAPETINGA;
0510310;JEQUIE;
0510312;SANTA MARIA DA VITORIA;
0510400;CAMACARI;
0510401;ALAGOINHAS;
0510500;ITABUNA;
0510501;EUNAPOLIS;
0510504;IPIAU;
0510505;ITAMARAJU;
0510506;VALENCA;
0510551;PORTO SEGURO;
0510552;ILHEUS;
0517800;ALF - SALVADOR;
0517801;IRF - AEROPORTO INTERNACIONAL DE SALVADOR;
0520100;ARACAJU;
0520101;ESTANCIA;
0520102;ITABAIANA;
0520104;NOSSA SENHORA DA GLORIA;
0520105;PROPRIA;
0520165;POSTO - LAGARTO;
0600100;GABINETE DO SRRF/6A RF/ASSESSORIA;
0600107;DIREP/SRRF/6A RF;
0600300;DISIT/SRRF/6A RF;
0600500;DISAR/SRRF/6A RF;
0600700;DIFIS/SRRF/6A RF;
0600900;DIANA/SRRF/6A RF;
0601100;DITEC/SRRF/6A RF;
0601300;DIPOL/SRRF/6A RF;
0610100;BELO HORIZONTE;
0610101;CONSELHEIRO LAFAIETE;
0610104;OURO PRETO;
0610107;JOAO MONLEVADE;
0610108;ARF - CORONEL FABRICIANO;
0610204;CORINTO;
0610300;GOVERNADOR VALADARES;
0610301;TEOFILO OTONI;
0610302;AIMORES;
0610303;ALMENARA;
0610304;CARATINGA;
0610306;MANHUACU;
0610307;MANTENA;
0610308;NANUQUE;
0610309;PEDRA AZUL;
0610310;GUANHAES;
0610400;JUIZ DE FORA;
0610401;CATAGUASES;
0610402;BARBACENA;
0610403;CARANGOLA;
0610404;MURIAE;
0610405;SAO JOAO DEL REI;
0610406;UBA;
0610407;VICOSA;
0610408;ANDRELANDIA;
0610409;MURIAE;
0610410;PONTE NOVA;
0610500;UBERABA;
0610501;ARAXA;
0610502;FRUTAL;
0610503;ITURAMA;
0610504;SAO GOTARDO;
0610600;VARGINHA;
0610602;ITAJUBA;
0610603;LAVRAS;
0610604;ALFENAS;
0610607;POUSO ALEGRE;
0610608;SANTA RITA DO SAPUCAI;
0610609;SAO LOURENCO;
0610610;TRES CORACOES;
0610611;TRES PONTAS;
0610700;DIVINOPOLIS;
0610701;BOM DESPACHO;
0610703;DORES DO INDAIA;
0610704;FORMIGA;
0610705;ITAUNA;
0610706;OLIVEIRA;
0610707;PARA DE MINAS;
0610708;PASSOS;
0610709;SANTO ANTONIO DO MONTE;
0610711;CAMPO BELO;
0610800;MONTES CLAROS;
0610801;JANAUBA;
0610803;PIRAPORA;
0610900;UBERLANDIA;
0610901;ARAGUARI;
0610902;ITUIUTABA;
0610903;PATOS DE MINAS;
0610904;PATROCINIO;
0610905;PATROCINIO;
0611000;CONTAGEM;
0611001;BETIM;
0611101;ITABIRA;
0611200;POCOS DE CALDAS;
0611201;GUAXUPE;
0611202;MUZAMBINHO;
0611203;SAO SEBASTIAO DO PARAISO;
0611300;SETE LAGOAS;
0611302;CURVELO;
0611303;PARACATU;
0611304;DIAMANTINA;
0611305;ARF - LAGOA SANTA;
0617600;AEROPORTO TANCREDO NEVES (CODIGO ANTIGO - USE O NOVO CODIGO 615100);
0617700;ALF - BELO HORIZONTE;
0617701;IRF - AEROPORTO INTERNACIONAL DE CONFINS;
0700100;GABINETE DO SRRF/7A RF/ASSESSORIA;
0700107;DIREP/SRRF/7A RF;
0700300;DISIT/SRRF/7A RF;
0700500;DISAR/SRRF/7A RF;
0700700;DIFIS/SRRF/7A RF;
0700900;DIANA/SRRF/7A RF;
0701100;DITEC/SRRF/7A RF;
0701300;DIPOL/SRRF/7A RF;
0710100;RIO DE JANEIRO/CENTRO-SUL;
0710102;CATETE;
0710104;CENTRO-SUL;
0710106;IPANEMA;
0710110;TIJUCA;
0710200;NITEROI;
0710201;NOVA FRIBURGO;
0710202;SAO GONCALO;
0710203;CABO FRIO;
0710205;Rio Bonito;
0710300;NOVA IGUACU;
0710301;DUQUE DE CAXIAS;
0710302;PETROPOLIS;
0710303;TERESOPOLIS;
0710304;ITAGUAI;
0710306;TRES RIOS;
0710400;CAMPOS DOS GOITACAZES;
0710401;ITAPERUNA;
0710402;SANTO ANTONIO DE PADUA;
0710403;MACAE;
0710500;VOLTA REDONDA;
0710501;BARRA DO PIRAI;
0710502;RESENDE;
0710504;ANGRA DOS REIS;
0710600;RIO DE JANEIRO/CENTRO-NORTE;
0710601;CENTRO-NORTE;
0710602;BANGU;
0710603;CAMPO GRANDE;
0710604;MADUREIRA;
0710605;MEIER;
0710606;RAMOS;
0710700;RIO DE JANEIRO;
0710800;DRF RJ I;
0710900;DRF RJ II;
0711000;MACAE;
0714500;Rio de Janeiro - Norte;
0714600;Rio de Janeiro - Sul;
0714700;Rio de Janeiro - Centro;
0716600;RIO DE JANEIRO;
0717600;PORTO DO RIO DE JANEIRO;
0717700;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO;
0717800;PORTO DE ITAGUAI;
0718500;DEMAC-RIO;
0719500;DECEX - RIO DE JANEIRO;
0720100;VITORIA;
0720101;CACHOEIRO DO ITAPEMIRIM;
0720102;COLATINA;
0720103;LINHARES;
0720104;SAO MATEUS;
0720105;SERRA;
0720106;VILA VELHA;
0727600;PORTO DE VITORIA;
0800100;GABINETE DO SRRF/8A RF/ASSESSORIA;
0800107;DIREP/SRRF/8A RF;
0800300;DISIT/SRRF/8A RF;
0800500;DISAR/SRRF/8A RF;
0800700;DIFIS/SRRF/8A RF;
0800900;DIANA/SRRF/8A RF;
0801100;DITEC/SRRF/8A RF;
0801300;DIPOL/SRRF/8A RF;
